Feature,MI
GHI,1.0195703968959586
sunlight_ratio_safe,0.91986076649333
SunlightTime/daylength,0.8862244787200453
ghi_temp_interaction,0.840928760017067
sunlightTime,0.7765695928767355
hour,0.6020792154116501
night_indicator,0.5710432467693574
isSun,0.5704915399020649
clear_sky_proxy,0.5213294729796649
hour_cos,0.44938748473089696
humidity,0.18162964774021972
hour_sin,0.1728027636538938
temp,0.12241823681605357
heating_load_proxy,0.11988868624663951
humidity_temp_interaction,0.11634752781794866
heating_degree_gap,0.11553072668103503
comfort_gap,0.10373675013763517
thermal_load_wh,0.10153071609751052
occupancy_proxy,0.09667018391372295
thermal_inertia_proxy,0.09531292810068237
month,0.07511103906655858
dayLength,0.07115251528713884
month_cos,0.06800413650162085
wind_pressure_interaction,0.058843306225128345
clouds_all,0.04001597003746671
cooling_load_proxy,0.03630245173829305
cooling_degree_gap,0.034016466006864476
weather_type,0.02737610948314373
pressure,0.02108321965292337
rain_1h,0.01732502441948558
wind_speed,0.0150840933550489
snow_1h,0.012435255468998818
month_sin,0.006801274273699143
minute_cos,0.004185882159688958
minute_sin,4.858617483716188e-05
minute,0.0
