family,perturbation,Energy Storage,Normal Operation,HVAC Moderation,Load Reduction,mean_T
utility,Energy Storage:w_esi x0.5,3.5,0.2,96.3,0.0,
utility,Energy Storage:w_esi x0.75,4.0,0.0,96.0,0.0,
utility,Energy Storage:w_esi x1.25,8.7,0.0,91.3,0.0,
utility,Energy Storage:w_esi x1.5,11.1,0.0,88.9,0.0,
utility,Energy Storage:w_surplus x0.5,4.2,0.0,95.8,0.0,
utility,Energy Storage:w_surplus x0.75,4.3,0.0,95.7,0.0,
utility,Energy Storage:w_surplus x1.25,7.8,0.0,92.2,0.0,
utility,Energy Storage:w_surplus x1.5,9.8,0.0,90.2,0.0,
utility,Energy Storage:w_gap x0.5,9.9,0.0,90.1,0.0,
utility,Energy Storage:w_gap x0.75,7.7,0.0,92.3,0.0,
utility,Energy Storage:w_gap x1.25,4.4,0.0,95.6,0.0,
utility,Energy Storage:w_gap x1.5,4.1,0.0,95.9,0.0,
utility,Normal Operation:w_esi x0.5,5.8,0.0,94.2,0.0,
utility,Normal Operation:w_esi x0.75,5.8,0.0,94.2,0.0,
utility,Normal Operation:w_esi x1.25,5.8,0.0,94.2,0.0,
utility,Normal Operation:w_esi x1.5,5.5,0.3,94.2,0.0,
utility,Normal Operation:w_imb x0.5,5.8,0.0,94.2,0.0,
utility,Normal Operation:w_imb x0.75,5.8,0.0,94.2,0.0,
utility,Normal Operation:w_imb x1.25,5.8,0.0,94.2,0.0,
utility,Normal Operation:w_imb x1.5,5.8,0.0,94.2,0.0,
utility,Normal Operation:w_gap x0.5,5.8,0.0,94.2,0.0,
utility,Normal Operation:w_gap x0.75,5.8,0.0,94.2,0.0,
utility,Normal Operation:w_gap x1.25,5.8,0.0,94.2,0.0,
utility,Normal Operation:w_gap x1.5,5.8,0.0,94.2,0.0,
utility,HVAC Moderation:w_esi x0.5,6.4,0.0,93.5,0.1,
utility,HVAC Moderation:w_esi x0.75,6.1,0.0,93.9,0.0,
utility,HVAC Moderation:w_esi x1.25,5.4,0.0,94.6,0.0,
utility,HVAC Moderation:w_esi x1.5,5.1,0.0,94.9,0.0,
utility,HVAC Moderation:w_gap x0.5,9.9,0.0,0.0,90.1,
utility,HVAC Moderation:w_gap x0.75,9.9,0.0,89.7,0.4,
utility,HVAC Moderation:w_gap x1.25,4.1,0.0,95.9,0.0,
utility,HVAC Moderation:w_gap x1.5,3.8,0.0,96.2,0.0,
utility,HVAC Moderation:w_E x0.5,4.7,0.0,95.3,0.0,
utility,HVAC Moderation:w_E x0.75,5.2,0.0,94.8,0.0,
utility,HVAC Moderation:w_E x1.25,6.5,0.0,93.5,0.0,
utility,HVAC Moderation:w_E x1.5,7.0,0.0,93.0,0.0,
utility,Load Reduction:w_esi x0.5,5.8,0.0,94.2,0.0,
utility,Load Reduction:w_esi x0.75,5.8,0.0,94.2,0.0,
utility,Load Reduction:w_esi x1.25,5.8,0.0,94.2,0.0,
utility,Load Reduction:w_esi x1.5,5.8,0.0,94.1,0.1,
utility,Load Reduction:w_T x0.5,5.8,0.0,94.2,0.0,
utility,Load Reduction:w_T x0.75,5.8,0.0,94.2,0.0,
utility,Load Reduction:w_T x1.25,5.8,0.0,94.2,0.0,
utility,Load Reduction:w_T x1.5,5.8,0.0,94.2,0.0,
utility,Load Reduction:w_gap x0.5,5.8,0.0,94.2,0.0,
utility,Load Reduction:w_gap x0.75,5.8,0.0,94.2,0.0,
utility,Load Reduction:w_gap x1.25,5.8,0.0,94.2,0.0,
utility,Load Reduction:w_gap x1.5,5.2,0.0,91.0,3.8,
utility,all w_gap x0.5,20.4,0.0,79.6,0.0,
utility,all w_esi x0.5,3.7,0.0,96.3,0.0,
utility,all w_gap x0.75,13.6,0.0,86.4,0.0,
utility,all w_esi x0.75,4.1,0.0,95.9,0.0,
utility,all w_gap x1.25,4.0,0.0,96.0,0.0,
utility,all w_esi x1.25,8.1,0.0,91.9,0.0,
utility,all w_gap x1.5,3.3,0.0,96.7,0.0,
utility,all w_esi x1.5,10.5,0.0,89.5,0.0,
utility,all w_gap x2.0,2.0,0.0,98.0,0.0,
utility,all w_esi x2.0,16.5,0.0,83.5,0.0,
