Feature,Importance
GHI,1.0356487925323141
dayLength,0.11943291563595804
sunlightTime,0.025195057483952787
sunlight_ratio_safe,0.020399085869473345
hour_cos,0.019269235617963808
clear_sky_proxy,0.018068041038710535
ghi_temp_interaction,0.008214856980161533
humidity,0.007167721293917029
clouds_all,0.005276909003156405
month,0.004102974482447763
hour_sin,0.003423882180667559
comfort_gap,0.0032156903070961196
rain_1h,0.0018029611944310408
humidity_temp_interaction,0.0015287335997050012
thermal_inertia_proxy,0.0013947609803579564
pressure,0.0013351396195874666
month_cos,0.0011205899170930954
weather_type,0.0010335087611795801
thermal_load_wh,0.0005282219146762523
temp,0.000492268697449405
month_sin,0.0003765520706987324
snow_1h,0.0003571188229208433
occupancy_proxy,0.0002724633559745504
wind_pressure_interaction,0.00022536309509184614
hour,0.00021401159851484053
wind_speed,0.0002041718898503131
minute,0.00011079673306477745
cooling_load_proxy,6.466856203863891e-05
minute_cos,5.424268488203321e-05
minute_sin,2.696233816639193e-05
cooling_degree_gap,6.4184667809996656e-06
isSun,0.0
night_indicator,0.0
SunlightTime/daylength,-9.546950527081766e-05
heating_load_proxy,-0.00017989691199495894
heating_degree_gap,-0.00025947190455384296
